Token Value                     Token Type                    

index                           IDENTIFIER                    
:=                              ASSIGN                        
24                              NUMBER                        
;                               SEMI                          
if                              RESERVED                      
index                           IDENTIFIER                    
=                               EQ                            
12                              NUMBER                        
y                               IDENTIFIER                    
:=                              ASSIGN                        
1                               NUMBER                        
;                               SEMI                          
u                               IDENTIFIER                    
:=                              ASSIGN                        
2                               NUMBER                        
;                               SEMI                          
end                             RESERVED                      
read                            RESERVED                      
:=                              ASSIGN                        
x                               IDENTIFIER                    
index                           IDENTIFIER                    
+                               PLUS                          
b                               IDENTIFIER                    
y                               IDENTIFIER                    
-                               MINUS                         
c                               IDENTIFIER                    
(                               LEFT BRACKET                  
u                               IDENTIFIER                    
)                               RIGHT BRACKET                 
;                               SEMI                          
